chrom1	start1	end1	chrom2	start2	end2	contacts
chr1	401755	401756	chr1	498480	498481	1
chr1	399871	399872	chr1	494545	494546	1
chr1	400890	400891	chr1	496811	496812	1
chr1	400961	400962	chr1	497175	497176	1
chr1	398652	398653	chr1	494208	494209	1
chr1	399362	399363	chr1	494208	494209	2
chr1	393256	393257	chr1	498755	498756	1
chr1	391322	391323	chr1	498417	498418	1
chr1	390655	390656	chr1	499293	499294	1
chr1	395739	395740	chr1	498480	498481	1
chr1	394243	394244	chr1	498756	498757	1
chr1	397216	397217	chr1	498756	498757	1
chr1	396932	396933	chr1	497420	497421	2
chr1	396732	396733	chr1	494545	494546	1
chr1	394243	394244	chr1	496636	496637	3
chr1	397216	397217	chr1	496810	496811	1
chr1	397216	397217	chr1	497176	497177	1
chr1	394243	394244	chr1	494972	494973	1
chr1	393166	393167	chr1	494545	494546	1
chr1	390079	390080	chr1	495520	495521	2
chr1	390078	390079	chr1	494423	494424	2
chr1	391217	391218	chr1	495175	495176	1
chr1	391494	391495	chr1	497175	497176	1
chr1	393166	393167	chr1	494208	494209	2
chr1	391217	391218	chr1	494972	494973	3
chr1	417677	417678	chr1	494545	494546	1
chr1	413277	413278	chr1	494332	494333	1
chr1	415880	415881	chr1	496811	496812	1
chr1	413548	413549	chr1	496635	496636	3
chr1	413837	413838	chr1	497176	497177	2
chr1	414340	414341	chr1	497176	497177	1
chr1	417677	417678	chr1	498207	498208	1
chr1	413302	413303	chr1	494972	494973	1
chr1	415069	415070	chr1	494972	494973	1
chr1	413026	413027	chr1	494207	494208	1
chr1	410057	410058	chr1	494333	494334	2
chr1	412070	412071	chr1	498479	498480	1
chr1	405863	405864	chr1	498755	498756	1
chr1	410206	410207	chr1	497419	497420	1
chr1	405009	405010	chr1	494544	494545	1
chr1	409537	409538	chr1	496811	496812	1
chr1	405056	405057	chr1	497175	497176	1
chr1	410057	410058	chr1	497175	497176	1
chr1	405009	405010	chr1	498006	498007	1
chr1	407769	407770	chr1	494207	494208	1
chr1	410057	410058	chr1	494207	494208	1
chr1	405009	405010	chr1	498417	498418	1
chr1	410206	410207	chr1	493172	493173	1
chr1	408424	408425	chr1	486986	486987	1
chr1	410206	410207	chr1	491217	491218	1
chr1	412070	412071	chr1	493171	493172	1
chr1	407770	407771	chr1	486985	486986	1
chr1	408342	408343	chr1	492387	492388	3
chr1	405009	405010	chr1	490082	490083	1
chr1	408343	408344	chr1	492041	492042	1
chr1	410845	410846	chr1	491257	491258	1
chr1	410205	410206	chr1	491359	491360	1
chr1	408342	408343	chr1	488178	488179	3
chr1	409536	409537	chr1	488178	488179	2
chr1	410845	410846	chr1	488178	488179	1
chr1	408342	408343	chr1	489459	489460	1
chr1	412070	412071	chr1	489459	489460	1
chr1	407770	407771	chr1	490536	490537	1
chr1	409536	409537	chr1	490536	490537	1
chr1	416286	416287	chr1	493373	493374	1
chr1	415069	415070	chr1	486986	486987	1
chr1	414747	414748	chr1	493372	493373	1
chr1	413027	413028	chr1	491886	491887	1
chr1	415880	415881	chr1	491886	491887	1
chr1	413548	413549	chr1	492162	492163	1
chr1	416285	416286	chr1	492162	492163	4
chr1	419058	419059	chr1	492162	492163	2
chr1	418308	418309	chr1	488178	488179	1
chr1	414747	414748	chr1	491080	491081	1
chr1	418308	418309	chr1	491080	491081	1
chr1	416673	416674	chr1	483939	483940	1
chr1	415834	415835	chr1	485478	485479	1
chr1	417678	417679	chr1	485478	485479	1
chr1	413277	413278	chr1	480399	480400	1
chr1	419058	419059	chr1	483938	483939	1
chr1	414339	414340	chr1	480398	480399	1
chr1	418308	418309	chr1	480222	480223	1
chr1	418308	418309	chr1	484074	484075	1
chr1	412716	412717	chr1	480986	480987	2
chr1	417678	417679	chr1	484073	484074	1
